ND      RADIUS  L1      L2
8	    16      8	    8	 
10	    20      10	    10	 
15	    30      15	    15	 
20	    40      20	    20	 
25	    50      25	    25	 
32	    64      32	    32	 
40	    80      40	    40	 
50	    100     50	    50	 
65	    130     65	    65	 
80	    160     80	    80	 
100	    200     100	    100	 
125	    250     125	    125	 
150	    300     150	    150	 
200	    400     200	    200	 
250	    500     250	    250	 
300	    600     300	    300	 
350	    700     350	    350	 
400	    800     400	    400	 
450	    900     450	    450	 
500	    1000    500	    500	 
550	    1100    550	    550	 
600	    1200    600	    600	 
650	    1300    650	    650	 
700	    1400    700	    700	 
750	    1500    750	    750	 
800	    1600    800	    800	 
850	    1700    850	    850	 
900	    1800    900	    900	 
950	    1900    950	    950	 
1000    2000    1000    1000 
1050    2100    1050    1050 
1100    2200    1100    1100 
1150    2300    1150    1150 
1200    2400    1200    1200 
1250    2500    1250    1250 
